gene_id	B721.221_A2902	B721.221_A5101	B721.221_A5401	B721.221_A5701
ENSG00000000003	0	0	0.0574369	0
ENSG00000000005	0	0	0	0
ENSG00000000419	66.4277	66.017	62.8548	67.863
ENSG00000000457	13.0573	16.026	12.6885	11.2711
ENSG00000000460	6.41501	6.82975	8.15469	6.85606
ENSG00000000938	46.8742	64.3048	47.5299	37.8035
ENSG00000000971	0.00595402	0	0	0
ENSG00000001036	40.8219	39.4836	26.9013	35.522
ENSG00000001084	8.58856	11.7304	10.3162	6.15382
ENSG00000001167	18.9677	20.2973	12.3066	15.6042
ENSG00000001460	0.0706606	0.0688478	0.0838652	0.012494
ENSG00000001461	4.31977	5.76843	10.972	6.50998
ENSG00000001497	47.345	48.885	33.1643	44.5897
ENSG00000001561	18.7322	16.1119	4.86139	6.27428
ENSG00000001617	0.0623019	0	0.182876	0.0800784
ENSG00000001626	0.100758	0.00861345	0.0158751	0
ENSG00000001629	44.2123	40.3873	39.7213	30.7399
ENSG00000001630	99.6332	96.4699	130.101	75.6921
ENSG00000001631	31.2498	26.1701	21.5679	18.5608
ENSG00000002016	15.7684	17.1287	16.4966	16.3454
ENSG00000002079	0.08758	0.0990689	0	0
ENSG00000002330	66.8241	59.3258	49.4485	53.0855
ENSG00000002549	169.484	161.269	72.7577	164.7
ENSG00000002586	32.8027	24.1458	57.4164	46.1049
ENSG00000002587	0.00338198	0	0.288631	0
ENSG00000002726	0.0102612	0.0381816	0.132036	0.0526411
ENSG00000002745	0	0	0	0
ENSG00000002746	0.134348	0.133336	0.121509	0.27368
ENSG00000002822	47.8877	59.0917	26.3004	36.9664
ENSG00000002834	85.1057	91.0165	44.9146	73.6688
ENSG00000002919	65.2545	54.3825	87.8457	52.0016
ENSG00000002933	0	0	0	0
ENSG00000003056	216.257	231.257	199.147	245.619
ENSG00000003096	0.0594016	0.0499571	3.54089	0.0630765
ENSG00000003137	0	0	0	0
ENSG00000003147	1.99847	4.57427	7.72726	1.69088
ENSG00000003249	0.0244782	0.170821	23.5854	0.0573793
ENSG00000003393	8.07624	6.98106	5.84127	8.18983
ENSG00000003400	1.73141	1.08524	2.31961	1.08276
ENSG00000003402	45.2742	40.652	137.946	70.777
ENSG00000003436	0.770855	0.334083	9.849	1.21543
ENSG00000003509	13.6621	12.3666	17.901	15.6472
ENSG00000003756	89.3994	110.92	128.696	106.026
ENSG00000003987	0	0	0.0102459	0.0147699
ENSG00000003989	0.00640167	0	0.0527918	0.0098989
ENSG00000004059	140.289	126.847	65.8276	97.5362
ENSG00000004139	12.4496	12.1309	8.95413	9.03877
ENSG00000004142	93.8694	91.5673	62.7924	65.784
ENSG00000004399	0.0304019	0.0370567	0.0918778	0.186373
ENSG00000004455	224.13	311.14	322.513	224.745
ENSG00000004468	0.831053	4.65239	4.64143	3.01602
ENSG00000004478	116.14	118.107	240.301	118.05
ENSG00000004487	60.4955	69.9033	83.7875	61.4606
ENSG00000004534	67.8324	80.5036	71.1321	95.2502
ENSG00000004660	0.0422877	0.0789447	0	0.506558
ENSG00000004700	55.6064	51.5124	28.3022	63.4582
ENSG00000004766	24.5537	22.9074	13.6523	19.3909
ENSG00000004776	0.0359481	0.0486554	0.335274	0.0573793
ENSG00000004777	0.869866	1.37089	3.23481	1.38847
ENSG00000004779	256.209	262.806	251.465	219.823
ENSG00000004799	0.00685863	0	0.180227	0.00706758
ENSG00000004809	0	0	0	0
ENSG00000004838	1.38083	2.12927	3.41034	2.52216
ENSG00000004846	0.0176665	0	0.0534171	0.00431513
