gene_id	BLCL_10	BLCL_2.1	BLCL_2.2	BLCL_3
ENSG00000000003	0.103359	0.0690193	0.124772	0.136076
ENSG00000000005	0	0	0	0.0107718
ENSG00000000419	81.3436	55.3484	57.9631	72.1435
ENSG00000000457	11.5156	9.48561	10.095	8.75685
ENSG00000000460	16.8992	17.6779	19.9327	18.3591
ENSG00000000938	56.031	42.6154	28.866	90.5959
ENSG00000000971	0.0226655	0.124739	0	0.285827
ENSG00000001036	19.1003	18.8595	16.6453	27.4975
ENSG00000001084	12.3845	14.293	9.99271	15.0058
ENSG00000001167	22.3813	20.8075	22.205	25.1719
ENSG00000001460	1.50947	2.1271	0.894296	0.591059
ENSG00000001461	5.97314	8.55199	5.85487	5.07768
ENSG00000001497	49.593	48.1581	58.1724	51.0006
ENSG00000001561	9.57627	5.90801	9.49898	10.9427
ENSG00000001617	0.0286588	0.172485	0.0304859	0.15497
ENSG00000001626	0.0595692	0.152065	1.73779	0.0165677
ENSG00000001629	26.3982	28.7758	27.2084	20.5132
ENSG00000001630	45.7984	58.2977	69.3192	37.1715
ENSG00000001631	24.1041	23.0628	20.8207	23.3103
ENSG00000002016	6.94876	10.4214	8.99431	6.10284
ENSG00000002079	0.0331798	0	0	0.0745265
ENSG00000002330	41.9973	32.2297	27.5064	39.1235
ENSG00000002549	292.393	240.458	237.247	204.369
ENSG00000002586	90.9788	108.715	104.011	154.113
ENSG00000002587	2.19138	0.269906	0.398323	0.197097
ENSG00000002726	0.0531623	0.51441	2.13312	2.61542
ENSG00000002745	0.036734	0.0386789	0.219384	0.0258629
ENSG00000002746	0	0.0187149	0	0.00659555
ENSG00000002822	53.6622	30.2428	32.75	58.6187
ENSG00000002834	120.216	95.0176	108.773	109.601
ENSG00000002919	52.8862	31.694	35.9044	35.3982
ENSG00000002933	0	0.41742	8.75306	0.225769
ENSG00000003056	153.816	161.114	142.332	179.396
ENSG00000003096	1.31808	0.90108	2.59374	3.51206
ENSG00000003137	0.0031597	0	0	0
ENSG00000003147	2.08714	4.68913	5.7985	5.50563
ENSG00000003249	1.41931	5.57849	3.31082	2.63028
ENSG00000003393	5.84997	7.31056	6.25772	4.54627
ENSG00000003400	5.61719	21.7591	12.0421	9.30884
ENSG00000003402	160.757	83.7849	72.8532	75.3515
ENSG00000003436	0.0646153	0.0331213	0.341012	0.0843156
ENSG00000003509	15.1836	15.5574	16.1017	18.0907
ENSG00000003756	101.921	94.4398	82.7938	93.4194
ENSG00000003987	0.530929	0.411412	0.261225	0.404465
ENSG00000003989	0.100201	0.0696071	0.45134	0.0445068
ENSG00000004059	136.728	131.106	124.996	136.785
ENSG00000004139	8.59882	12.1553	13.0266	12.4319
ENSG00000004142	96.1201	80.4604	81.1464	89.9683
ENSG00000004399	0.325969	0.389397	0.723149	0.332309
ENSG00000004455	223.768	189.388	222.447	193.895
ENSG00000004468	50.9323	37.9108	21.6273	6.78439
ENSG00000004478	45.4424	59.2697	82.5912	45.9103
ENSG00000004487	64.487	77.5842	100.322	50.3287
ENSG00000004534	67.5786	82.2245	69.6693	51.5994
ENSG00000004660	0.674929	0.838683	0.659677	0.798913
ENSG00000004700	64.1015	45.4941	51.5434	53.2782
ENSG00000004766	13.28	9.83692	10.014	10.876
ENSG00000004776	0.0484045	0.50907	0.82855	0.0956056
ENSG00000004777	6.26394	10.8389	10.9047	6.21816
ENSG00000004779	196.635	171.974	191.505	194.536
ENSG00000004799	0	0	0	0.00572323
ENSG00000004809	0.00673656	0	0.054715	0.0195898
ENSG00000004838	0.382295	0.479984	0.527491	0.330326
ENSG00000004846	0	0	0.00821389	0.0177254
ENSG00000004848	0.0089282	0.0859628	0	0.004144
ENSG00000004864	23.5501	16.4388	21.2282	20.6627
ENSG00000004866	31.8828	36.3351	45.176	23.9649
ENSG00000004897	63.7445	51.2072	59.1192	57.4261
ENSG00000004939	0.0405293	0	0.0379393	0.00306814
ENSG00000004948	0.0184895	0	0.0138188	0.0033681
ENSG00000004961	31.8121	22.8675	24.986	30.9513
ENSG00000004975	25.1674	25.7065	28.742	25.7965
ENSG00000005001	0	0	0	0
ENSG00000005007	40.9301	38.7855	34.9582	34.6214
ENSG00000005020	24.9595	25.0418	20.2785	29.6005
ENSG00000005022	516.21	488.798	605.706	548.103
ENSG00000005059	49.2354	43.8339	40.9519	40.0927
ENSG00000005073	0.00616334	0	0	0.017161
ENSG00000005075	69.7598	69.2896	61.2095	72.3921
ENSG00000005100	20.3527	20.2995	18.5933	21.4718
ENSG00000005102	0.0346852	0	0.207212	0.0630491
ENSG00000005108	0.0023468	0.00445917	0.00444791	0.00324653
ENSG00000005156	17.2644	21.584	22.4248	17.8491
ENSG00000005175	33.6544	25.1216	29.3981	27.9918
ENSG00000005187	10.147	21.1817	18.4587	11.6682
ENSG00000005189	9.14827	9.33506	14.7803	11.7411
ENSG00000005194	43.1193	31.9702	33.8234	39.7298
ENSG00000005206	27.5411	32.1805	31.8559	26.1339
ENSG00000005238	10.3354	7.3233	4.51356	6.18441
ENSG00000005243	1.72961	5.13979	1.86734	2.62624
ENSG00000005249	0.117632	0.0398949	0.0395216	0.0738768
ENSG00000005302	49.191	117.439	123.101	46.3775
ENSG00000005339	18.6322	20.4255	17.8749	17.505
ENSG00000005379	5.4223	3.89284	2.67725	3.44072
ENSG00000005381	0.111823	0.453228	0.0913373	0.00741499
ENSG00000005421	0.00545962	0	0.163538	0
ENSG00000005436	19.3244	18.2553	20.9612	19.1214
ENSG00000005448	36.3982	41.394	52.4865	36.5081
ENSG00000005469	13.4068	5.02143	6.49635	10.9521
ENSG00000005471	9.60926	5.23059	5.32344	9.58696
ENSG00000005483	22.5533	26.9237	25.941	20.6558
ENSG00000005486	19.317	13.3036	17.814	17.3727
ENSG00000005513	0.0268941	0	0	0.0425734
ENSG00000005700	27.4365	25.4995	22.9325	25.4488
ENSG00000005801	23.7313	22.9376	22.524	20.6803
ENSG00000005810	106.338	93.8531	98.366	71.779
ENSG00000005812	16.9522	15.7063	12.0993	15.3922
ENSG00000005844	60.3522	34.6829	34.6345	29.7103
ENSG00000005882	5.34584	7.7171	3.88806	6.41588
ENSG00000005884	2.69766	4.07726	0.917223	1.39997
