gene_id	HealthyCtrl1	HealthyCtrl2	HealthyCtrl3
ENSG00000000003	0	0.127118	0.0571536
ENSG00000000005	0	0	0
ENSG00000000419	43.7822	43.3164	29.625
ENSG00000000457	1.44896	3.08472	3.67032
ENSG00000000460	0	2.49702	3.82529
ENSG00000000938	192.319	177.106	250.718
ENSG00000000971	0.191256	2.17454	1.17057
ENSG00000001036	5.93085	12.1372	13.5592
ENSG00000001084	14.0128	22.2287	20.1299
ENSG00000001167	14.394	13.7443	16.604
ENSG00000001460	0	1.27571	2.7499
ENSG00000001461	9.90968	8.82712	16.9079
ENSG00000001497	26.0039	18.0474	18.9357
ENSG00000001561	8.96882	5.32213	7.69551
ENSG00000001617	0.376252	0.0750933	0.0680698
ENSG00000001626	6.33624	0	0
ENSG00000001629	29.0483	55.3586	55.3495
ENSG00000001630	22.5247	14.3087	8.121
ENSG00000001631	27.7654	32.09	42.7965
ENSG00000002016	5.20992	4.90955	4.63015
ENSG00000002079	0	0	0
ENSG00000002330	0	10.8258	9.24355
ENSG00000002549	38.5964	99.133	60.0776
ENSG00000002586	308.392	218.512	276.838
ENSG00000002587	0.862186	0.229682	0.237675
ENSG00000002726	0	0	0
ENSG00000002745	0	0	0.580491
ENSG00000002746	1.26252	0	0.0830101
ENSG00000002822	75.5606	37.6045	56.4838
ENSG00000002834	117.458	91.0215	142.075
ENSG00000002919	10.6734	8.35238	9.11636
ENSG00000002933	9.29384	55.4524	49.3393
ENSG00000003056	39.7811	60.0298	108.275
ENSG00000003096	0	0.208701	0.189329
ENSG00000003137	0	0.0593454	0
ENSG00000003147	1.82491	3.96576	2.4308
ENSG00000003249	0	1.07244	1.94649
ENSG00000003393	16.6109	5.26181	11.7143
ENSG00000003400	10.845	13.8467	19.8351
ENSG00000003402	110.347	184.775	151.568
ENSG00000003436	4.49324	1.24582	1.98477
ENSG00000003509	15.4066	19.578	10.1149
ENSG00000003756	472.624	237.432	267.851
ENSG00000003987	0	0	0
ENSG00000003989	0	0	0
ENSG00000004059	75.1884	97.9559	112.383
ENSG00000004139	21.1146	7.89099	10.2526
ENSG00000004142	15.3198	10.0356	15.0575
ENSG00000004399	121.237	127.253	160.156
ENSG00000004455	51.4491	41.4671	57.6193
ENSG00000004468	13.795	14.4756	16.1428
ENSG00000004478	11.707	6.30028	9.75039
ENSG00000004487	34.8668	22.1018	25.0701
ENSG00000004534	78.5124	68.6692	122.943
ENSG00000004660	18.6888	6.5817	3.77176
ENSG00000004700	7.78355	11.775	14.7647
ENSG00000004766	25.9759	14.7608	28.7238
ENSG00000004776	0	0.175389	0
ENSG00000004777	23.5875	9.35894	3.84708
ENSG00000004779	3.37764	16.4723	19.1563
ENSG00000004799	26.7867	8.24696	18.8468
ENSG00000004809	0	2.56252	0.86262
ENSG00000004838	0	0	0.869739
ENSG00000004846	0	0	0
ENSG00000004848	0	0	0
ENSG00000004864	16.829	18.0318	20.1892
ENSG00000004866	6.43146	10.6678	8.67349
ENSG00000004897	45.0501	60.0769	60.5186
ENSG00000004939	0.466323	2.48761	1.3938
ENSG00000004948	0	0.0681327	0
ENSG00000004961	8.13088	6.59233	4.76797
ENSG00000004975	31.0275	8.9426	14.6395
ENSG00000005001	0	1.13681	0
ENSG00000005007	58.1482	34.3818	35.192
ENSG00000005020	28.2313	31.8124	51.8442
ENSG00000005022	106.03	109.911	97.1709
ENSG00000005059	34.0607	38.0502	39.0632
ENSG00000005073	0	0	0
ENSG00000005075	59.2889	57.9564	57.1834
ENSG00000005100	1.14145	2.51988	4.37302
ENSG00000005102	0	0.221605	1.16682
ENSG00000005108	0	0.287954	0.475659
ENSG00000005156	44.9193	18.5957	22.656
ENSG00000005175	6.90875	16.9656	31.0334
ENSG00000005187	4.28232	22.9894	8.48131
ENSG00000005189	0	0.717219	1.13798
ENSG00000005194	45.3857	11.0617	18.666
ENSG00000005206	43.1475	40.4992	30.7332
ENSG00000005238	55.3104	25.1119	24.8106
ENSG00000005243	0	0	1.36994
ENSG00000005249	24.8179	17.2189	33.3871
ENSG00000005302	105.304	48.7386	54.1457
ENSG00000005339	288.151	200.687	196.819
ENSG00000005379	74.601	19.1456	27.2121
ENSG00000005381	2.3485	6.77049	3.25048
ENSG00000005421	0	0	0
ENSG00000005436	11.8248	8.54451	7.07665
ENSG00000005448	5.75886	2.91803	8.35151
ENSG00000005469	0.31283	3.56241	2.96221
ENSG00000005471	0	12.9469	1.72294
ENSG00000005483	235.143	242.718	205.095
ENSG00000005486	83.517	44.6885	38.0599
ENSG00000005513	0	0.704587	0.141942
ENSG00000005700	46.399	23.2223	31.7552
ENSG00000005801	6.8358	17.1049	18.1388
ENSG00000005810	135.297	135.771	165.953
ENSG00000005812	65.5821	62.2262	52.6201
ENSG00000005844	358.26	348.702	520.922
ENSG00000005882	18.2832	11.0925	23.5289
ENSG00000005884	0	1.46259	3.27089
ENSG00000005889	21.4394	33.2033	34.7221
ENSG00000005893	53.1109	40.682	46.4667
ENSG00000005961	39.0505	11.1847	44.6159
ENSG00000005981	0	0	0.298904
ENSG00000006007	20.8813	16.9128	22.9862
ENSG00000006015	34.406	25.0894	23.3418
ENSG00000006016	0	0	0.240438
ENSG00000006025	9.54739	14.0372	15.2835
ENSG00000006042	0	0	0
ENSG00000006047	0	0.405085	0
ENSG00000006059	0	0	0
ENSG00000006062	16.3921	19.2769	17.4973
ENSG00000006071	0	0.136265	0
ENSG00000006116	0	0	0
ENSG00000006118	1.33078	0.123377	0.588636
ENSG00000006125	50.7056	26.5179	48.3301
ENSG00000006128	7.70823	0	0
ENSG00000006194	31.6505	19.5252	21.5902
ENSG00000006210	0	0.0733457	0
ENSG00000006282	3.66503	8.74447	16.5095
ENSG00000006283	0	0	0
