gene_id	EL4_rep1	EL4_rep2
ENSMUSG00000000001	195.068	167.309
ENSMUSG00000000003	0	0
ENSMUSG00000000028	39.5416	36.6059
ENSMUSG00000000037	0.0269219	0
ENSMUSG00000000049	8.47441	6.65157
ENSMUSG00000000056	40.1074	33.8755
ENSMUSG00000000058	0	0.206336
ENSMUSG00000000078	45.9564	39.2884
ENSMUSG00000000085	0.0400352	0.0368973
ENSMUSG00000000088	367.191	391.017
ENSMUSG00000000093	0.0649654	0.0720913
ENSMUSG00000000094	0	0
ENSMUSG00000000103	0	0
ENSMUSG00000000120	0	0
ENSMUSG00000000125	0.0768653	0
ENSMUSG00000000126	0	0
ENSMUSG00000000127	0.0812776	0
ENSMUSG00000000131	89.1936	83.0472
ENSMUSG00000000134	20.2003	18.8283
ENSMUSG00000000142	18.0388	17.769
ENSMUSG00000000148	8.89948	10.0619
ENSMUSG00000000149	23.7963	23.6631
ENSMUSG00000000154	0.211991	0
ENSMUSG00000000157	0.0281534	0
ENSMUSG00000000159	0.103919	0.0864885
ENSMUSG00000000167	1.00806	1.44761
ENSMUSG00000000168	53.5282	50.9565
ENSMUSG00000000171	218.844	219.139
ENSMUSG00000000182	0	0
ENSMUSG00000000183	0	0
ENSMUSG00000000184	120.858	94.4671
ENSMUSG00000000194	41.4739	38.4346
ENSMUSG00000000197	0.0341373	0
ENSMUSG00000000202	1.50727	0.966259
ENSMUSG00000000204	0.0521241	0
ENSMUSG00000000214	0	0
ENSMUSG00000000215	0	0
ENSMUSG00000000216	0.0263682	0.0438908
ENSMUSG00000000223	0.214984	0.0593456
ENSMUSG00000000244	122.472	117.234
ENSMUSG00000000247	0	0.0925726
ENSMUSG00000000248	0.261124	0
ENSMUSG00000000253	0	0
ENSMUSG00000000263	0.0446342	0
ENSMUSG00000000266	0.0131675	0
ENSMUSG00000000275	28.0306	22.679
ENSMUSG00000000276	14.6678	12.5854
ENSMUSG00000000278	75.692	67.8992
ENSMUSG00000000282	22.0069	19.96
ENSMUSG00000000290	113.24	100.409
ENSMUSG00000000295	76.0054	83.4884
ENSMUSG00000000296	0.0747193	0
ENSMUSG00000000301	3.5492	1.94064
ENSMUSG00000000303	0	0
ENSMUSG00000000305	0.0921707	0
ENSMUSG00000000308	1.32619	3.01444
ENSMUSG00000000317	0	0.038892
ENSMUSG00000000318	0	0
ENSMUSG00000000320	0.105113	0
ENSMUSG00000000325	5.15714	4.49223
ENSMUSG00000000326	49.6001	43.0005
ENSMUSG00000000339	37.8434	38.6924
ENSMUSG00000000340	16.0414	14.4815
ENSMUSG00000000346	309.599	271.519
ENSMUSG00000000355	62.9888	62.8383
ENSMUSG00000000359	0	0
ENSMUSG00000000365	0	0
ENSMUSG00000000374	20.8648	19.5986
ENSMUSG00000000378	19.9765	17.7214
ENSMUSG00000000381	0.171487	0
ENSMUSG00000000384	41.4082	43.5883
ENSMUSG00000000385	0.0390854	0
ENSMUSG00000000386	0.215509	0.305834
ENSMUSG00000000392	0	0
ENSMUSG00000000394	0	0
ENSMUSG00000000399	110.175	110.883
ENSMUSG00000000402	0	0
ENSMUSG00000000409	220.059	196.22
ENSMUSG00000000411	0.127517	0
ENSMUSG00000000416	0	0
ENSMUSG00000000420	128.689	103.084
ENSMUSG00000000435	0	0
ENSMUSG00000000439	22.4186	28.5052
ENSMUSG00000000440	0	0
ENSMUSG00000000441	59.199	69.132
ENSMUSG00000000486	143.047	152.57
ENSMUSG00000000489	0	0
ENSMUSG00000000530	0.283534	0.565528
ENSMUSG00000000531	3.06219	2.7446
ENSMUSG00000000532	11.864	10.3751
ENSMUSG00000000538	19.0358	16.4664
ENSMUSG00000000544	0.0357224	0
ENSMUSG00000000552	1.75529	1.07329
ENSMUSG00000000555	0.0178555	0
ENSMUSG00000000560	0.363311	0.0589682
ENSMUSG00000000561	32.463	28.5508
ENSMUSG00000000562	0.134307	0
ENSMUSG00000000563	337.142	302.069
ENSMUSG00000000567	0	0
ENSMUSG00000000568	336.502	274.691
ENSMUSG00000000579	2.17593	0.968137
ENSMUSG00000000581	30.5704	42.0738
ENSMUSG00000000594	34.8449	33.2334
ENSMUSG00000000600	31.4326	25.8268
ENSMUSG00000000605	20.492	16.8448
ENSMUSG00000000606	0.0226454	0
ENSMUSG00000000617	0	0
ENSMUSG00000000627	5.80845	6.28695
ENSMUSG00000000628	96.8107	79.8189
ENSMUSG00000000631	28.8322	24.5298
ENSMUSG00000000632	0.0459213	0
ENSMUSG00000000673	0.143512	0.181997
ENSMUSG00000000682	182.356	215.365
ENSMUSG00000000686	0.59439	0.692567
ENSMUSG00000000690	3.56954	4.55199
ENSMUSG00000000693	0.0649926	0.0503585
ENSMUSG00000000701	0	0
ENSMUSG00000000706	0.206708	0.440154
ENSMUSG00000000708	18.6504	10.7358
ENSMUSG00000000711	45.862	39.5066
ENSMUSG00000000724	0	0.181738
ENSMUSG00000000730	0.0485801	0
ENSMUSG00000000731	0	0.0442701
ENSMUSG00000000732	0	0.0533209
ENSMUSG00000000738	31.2482	34.2314
ENSMUSG00000000739	0.169482	0.130721
ENSMUSG00000000740	2040.18	2539.06
ENSMUSG00000000743	49.4488	51.9036
ENSMUSG00000000751	141.275	138.529
ENSMUSG00000000753	81.6381	74.6483
ENSMUSG00000000759	41.0607	33.372
ENSMUSG00000000766	0	0.0545706
ENSMUSG00000000776	9.67651	8.89813
ENSMUSG00000000782	1130.13	1052.65
ENSMUSG00000000787	358.336	286.416
ENSMUSG00000000791	12.0209	10.9178
ENSMUSG00000000792	0	0.0448594
ENSMUSG00000000794	0.102693	0.12326
ENSMUSG00000000804	10.8635	11.1151
ENSMUSG00000000805	0	0
ENSMUSG00000000811	8.52138	8.06547
ENSMUSG00000000817	0.0825624	0
ENSMUSG00000000823	16.1635	9.45069
ENSMUSG00000000826	70.1564	58.3496
ENSMUSG00000000827	41.2627	49.0655
ENSMUSG00000000838	42.9954	35.3545
ENSMUSG00000000861	0.0260099	0.0220346
ENSMUSG00000000869	0.987115	1.88398
ENSMUSG00000000876	14.5738	12.7057
ENSMUSG00000000881	0	0
ENSMUSG00000000884	4.58303	6.04229
ENSMUSG00000000889	0.0310384	0
ENSMUSG00000000901	3.7806	0.999032
ENSMUSG00000000902	61.9525	57.7557
ENSMUSG00000000903	0.836798	0.928585
ENSMUSG00000000915	45.3865	42.0141
ENSMUSG00000000916	13.9552	14.3977
ENSMUSG00000000934	6.98332	6.92349
ENSMUSG00000000938	28.6798	26.2587
ENSMUSG00000000942	1.15605	1.00045
ENSMUSG00000000948	0	0.0331442
ENSMUSG00000000957	0.109028	0.198654
ENSMUSG00000000958	22.3025	20.3648
ENSMUSG00000000959	61.1239	52.1462
ENSMUSG00000000976	16.7308	15.2624
ENSMUSG00000000982	0	0
ENSMUSG00000000983	0	0
ENSMUSG00000001014	0.268263	1.20193
ENSMUSG00000001016	63.46	58.7141
ENSMUSG00000001017	120.564	121.635
ENSMUSG00000001018	27.392	26.307
ENSMUSG00000001020	107.621	119.793
ENSMUSG00000001021	1.49708	0.881892
ENSMUSG00000001023	0.220677	0.367324
ENSMUSG00000001025	265.956	333.027
ENSMUSG00000001027	0.0589555	0.05888
ENSMUSG00000001029	4.56954	3.13767
ENSMUSG00000001034	20.8019	19.5644
ENSMUSG00000001036	10.3203	10.037
ENSMUSG00000001039	17.4009	14.1035
ENSMUSG00000001052	58.1739	46.4954
ENSMUSG00000001053	6.92371	8.15142
ENSMUSG00000001054	26.3354	28.4217
ENSMUSG00000001056	63.4019	62.8839
ENSMUSG00000001062	23.3199	24.831
ENSMUSG00000001065	12.1048	11.0355
ENSMUSG00000001076	0	0
ENSMUSG00000001082	19.6321	19.5536
ENSMUSG00000001089	13.3979	10.7448
ENSMUSG00000001095	0	0
ENSMUSG00000001098	22.6782	20.57
ENSMUSG00000001100	59.4128	54.827
ENSMUSG00000001103	0.125438	0.104398
ENSMUSG00000001105	71.8399	71.0872
ENSMUSG00000001119	0.0382119	0.0318025
ENSMUSG00000001120	0.364693	0.680717
ENSMUSG00000001123	158.084	159.964
ENSMUSG00000001127	61.5547	55.9868
ENSMUSG00000001128	1.78349	1.5621
ENSMUSG00000001131	0.40511	0.505739
ENSMUSG00000001134	23.5237	23.2975
ENSMUSG00000001138	5.05055	5.22729
ENSMUSG00000001143	25.2001	20.4517
ENSMUSG00000001150	34.9788	39.7355
ENSMUSG00000001151	25.0508	23.403
ENSMUSG00000001155	0	0
ENSMUSG00000001156	4.29715	4.47219
ENSMUSG00000001157	32.8711	30.6047
ENSMUSG00000001158	92.2808	106.027
ENSMUSG00000001166	10.1709	9.48029
ENSMUSG00000001168	0	0
ENSMUSG00000001173	10.0448	9.08236
ENSMUSG00000001175	351.335	417.173
ENSMUSG00000001211	81.3222	89.0965
ENSMUSG00000001225	0	0
ENSMUSG00000001227	0.671455	0.594373
ENSMUSG00000001228	70.559	62.4314
ENSMUSG00000001229	40.3993	35.8074
ENSMUSG00000001240	0	0.279886
ENSMUSG00000001247	0.0464093	0.217954
ENSMUSG00000001248	96.7252	92.762
ENSMUSG00000001249	0	0
ENSMUSG00000001260	0.0163769	0
ENSMUSG00000001270	0.0885686	0.674656
ENSMUSG00000001280	48.8112	35.8796
ENSMUSG00000001281	7.2549	12.2269
ENSMUSG00000001285	53.1255	66.6399
ENSMUSG00000001288	31.6677	31.518
ENSMUSG00000001289	678.531	719.463
ENSMUSG00000001300	0.126919	0.0542656
ENSMUSG00000001305	31.4961	33.2669
ENSMUSG00000001313	0.310011	0.678769
ENSMUSG00000001323	14.3268	13.5927
ENSMUSG00000001333	0.208301	0.0656994
ENSMUSG00000001334	0.0572069	0.0476114
ENSMUSG00000001348	25.1352	24.8201
ENSMUSG00000001349	0.0666769	0.0554929
ENSMUSG00000001366	24.3841	19.8623
ENSMUSG00000001376	7.63614	6.40481
ENSMUSG00000001380	54.7839	50.5648
ENSMUSG00000001383	57.2902	62.0561
ENSMUSG00000001403	317.342	325.07
ENSMUSG00000001415	22.9712	19.0214
ENSMUSG00000001416	197.511	194.712
ENSMUSG00000001418	17.7032	16.8712
ENSMUSG00000001419	63.403	49.654
ENSMUSG00000001420	0.321615	0.356892
ENSMUSG00000001424	120.029	117.114
ENSMUSG00000001435	0.030837	0.0256646
ENSMUSG00000001436	8.38362	6.96942
ENSMUSG00000001440	145.502	124.919
ENSMUSG00000001441	62.6479	56.5116
ENSMUSG00000001444	2.38958	2.65169
ENSMUSG00000001445	47.8603	49.2588
ENSMUSG00000001467	133.093	122.597
ENSMUSG00000001472	295.608	278.139
ENSMUSG00000001473	0	0.304911
ENSMUSG00000001482	28.7206	26.0073
ENSMUSG00000001493	0	0
ENSMUSG00000001494	0	0
ENSMUSG00000001496	0.0354753	0
ENSMUSG00000001497	0.0344121	0
ENSMUSG00000001504	0	0
ENSMUSG00000001506	0.170768	0.660683
ENSMUSG00000001507	0	0
ENSMUSG00000001508	0.143365	0.51814
ENSMUSG00000001510	0	0
ENSMUSG00000001517	70.2112	56.8084
ENSMUSG00000001518	18.9324	21.5725
ENSMUSG00000001520	0.193078	0.527267
ENSMUSG00000001521	11.7701	10.1279
ENSMUSG00000001524	35.9723	37.5201
ENSMUSG00000001525	712.241	678.129
ENSMUSG00000001542	0.52865	0.548195
ENSMUSG00000001552	0.0332664	0.0817829
ENSMUSG00000001555	0.310991	0.309702
ENSMUSG00000001558	0.474985	0.59297
ENSMUSG00000001566	0	0
ENSMUSG00000001569	19.1627	16.1977
ENSMUSG00000001576	70.9593	62.5998
ENSMUSG00000001583	0.146379	0.074252
ENSMUSG00000001588	150.588	144.224
ENSMUSG00000001604	0.0653288	0.108742
ENSMUSG00000001622	0.167678	0.202423
ENSMUSG00000001627	112.141	107.876
ENSMUSG00000001630	21.3292	18.3407
ENSMUSG00000001632	20.8847	19.9814
ENSMUSG00000001642	137.296	129.128
ENSMUSG00000001655	0.0322214	0
ENSMUSG00000001656	0.0790015	0.0657503
ENSMUSG00000001657	0.856672	1.18244
ENSMUSG00000001661	8.08666	10.3205
ENSMUSG00000001663	0.0745744	0
ENSMUSG00000001665	0	0
ENSMUSG00000001666	66.0098	72.919
ENSMUSG00000001670	19.9549	16.5244
ENSMUSG00000001672	8.46484	6.82501
ENSMUSG00000001674	76.3425	68.0805
ENSMUSG00000001687	118.131	111.228
ENSMUSG00000001700	5.66307	4.35489
ENSMUSG00000001707	15.2446	18.6218
ENSMUSG00000001729	126.503	121.005
ENSMUSG00000001739	0.0433027	0.144157
ENSMUSG00000001741	12.5336	11.6956
ENSMUSG00000001750	48.3532	49.1722
ENSMUSG00000001751	13.3655	13.8015
ENSMUSG00000001755	21.2018	19.5525
ENSMUSG00000001761	76.0493	68.2894
ENSMUSG00000001763	0.202069	0.233269
ENSMUSG00000001767	20.2042	17.3306
ENSMUSG00000001768	0.153918	0.0917892
ENSMUSG00000001773	0.0252104	0
ENSMUSG00000001774	50.6107	48.49
ENSMUSG00000001783	136.536	115.668
ENSMUSG00000001785	30.5433	29.9305
ENSMUSG00000001786	30.8683	31.6559
ENSMUSG00000001794	348.512	349.852
ENSMUSG00000001802	0	0
ENSMUSG00000001804	0.0225965	0
ENSMUSG00000001815	0.0186837	0
