transcript_id	EL4_rep1	EL4_rep2
ENSMUST00000000001	195.068	167.309
ENSMUST00000000003	0	0
ENSMUST00000114041	0	0
ENSMUST00000000028	8.65479	15.0639
ENSMUST00000096990	30.6663	21.5419
ENSMUST00000115585	0	0
ENSMUST00000231819	0.220878	0
ENSMUST00000019101	0	0
ENSMUST00000074802	0	0
ENSMUST00000077375	0	0
ENSMUST00000087090	0	0
ENSMUST00000101113	0.0269218	0
ENSMUST00000112345	0	0
ENSMUST00000124775	0	0
ENSMUST00000238361	0	0
ENSMUST00000238603	0	0
ENSMUST00000000049	8.47438	6.65157
ENSMUST00000133383	0	0
ENSMUST00000146050	0	0
ENSMUST00000152958	0	0
ENSMUST00000103015	40.1072	33.471
ENSMUST00000151088	0	0.405475
ENSMUST00000154047	0	0
ENSMUST00000000058	0	0
ENSMUST00000115459	0	0
ENSMUST00000115462	0	0.206336
ENSMUST00000000080	45.189	38.7638
ENSMUST00000221734	0	0
ENSMUST00000222857	0.767387	0.524953
ENSMUST00000000087	0	0
ENSMUST00000064991	0	0
ENSMUST00000106298	0.0400351	0
ENSMUST00000106301	0	0
ENSMUST00000122860	0	0
ENSMUST00000132116	0	0
ENSMUST00000133169	0	0
ENSMUST00000133290	0	0
ENSMUST00000134375	0	0
ENSMUST00000136801	0	0
ENSMUST00000144555	0	0.0368973
ENSMUST00000144862	0	0
ENSMUST00000151345	0	0
ENSMUST00000153099	0	0
ENSMUST00000000090	365.746	389.483
ENSMUST00000213678	1.44329	1.53554
ENSMUST00000214154	0	0
ENSMUST00000000095	0.0649652	0.0720913
ENSMUST00000000096	0	0
ENSMUST00000108045	0	0
ENSMUST00000108047	0	0
ENSMUST00000115891	0	0
ENSMUST00000187148	0	0
ENSMUST00000000122	0	0
ENSMUST00000000127	0.0768651	0
ENSMUST00000000128	0	0
ENSMUST00000108783	0	0
ENSMUST00000000129	0	0
ENSMUST00000038080	0	0
ENSMUST00000232945	0	0
ENSMUST00000233190	0.0812773	0
ENSMUST00000233225	0	0
ENSMUST00000009344	13.7084	9.92188
ENSMUST00000163959	0	0
ENSMUST00000164741	0	0.820234
ENSMUST00000165608	12.0541	5.16096
ENSMUST00000165660	0	0
ENSMUST00000166368	0	0
ENSMUST00000166538	4.89256	8.41767
ENSMUST00000166540	0	0
ENSMUST00000166719	2.3607	3.65545
ENSMUST00000167147	1.34457	2.03013
ENSMUST00000167268	0.220351	0.216707
ENSMUST00000167315	0.0585588	0.0998164
ENSMUST00000168189	21.7181	18.0916
ENSMUST00000168564	3.06999	1.43875
ENSMUST00000168649	0.662525	0
ENSMUST00000168933	0.712813	0
ENSMUST00000169059	0	0
ENSMUST00000170675	1.6428	1.1933
ENSMUST00000171861	26.6738	31.9467
ENSMUST00000206784	0.0741605	0.0529041
ENSMUST00000077680	5.20507	3.78819
ENSMUST00000079542	0	0
ENSMUST00000101695	0	0
ENSMUST00000115677	5.95218	8.54388
ENSMUST00000115678	7.28002	6.18428
ENSMUST00000115679	0	0
ENSMUST00000115680	0.000253933	0
ENSMUST00000126694	0.179212	0.0741155
ENSMUST00000132209	1.24948	0
ENSMUST00000133456	0	0.167232
