gene_id	HealthyCtrl2
ENSG00000000003	0.0571536
ENSG00000000419	43.3164
ENSG00000000457	3.08472
ENSG00000000460	2.49702
ENSG00000000938	192.319
ENSG00000000971	1.17057
ENSG00000001036	12.1372
ENSG00000001084	20.1299
ENSG00000001167	14.394
ENSG00000001460	1.27571
ENSG00000001461	9.90968
ENSG00000001497	18.9357
ENSG00000001561	7.69551
ENSG00000001617	0.0750933
ENSG00000001629	55.3495
ENSG00000001630	14.3087
ENSG00000001631	32.09
ENSG00000002016	4.90955
ENSG00000002330	9.24355
ENSG00000002549	60.0776
ENSG00000002586	276.838
ENSG00000002587	0.237675
ENSG00000002745	0.580491
ENSG00000002746	0.0830101
ENSG00000002822	56.4838
ENSG00000002834	117.458
ENSG00000002919	9.11636
ENSG00000002933	49.3393
ENSG00000003056	60.0298
ENSG00000003096	0.189329
ENSG00000003147	2.4308
ENSG00000003249	1.07244
ENSG00000003393	11.7143
ENSG00000003400	13.8467
ENSG00000003402	151.568
ENSG00000003436	1.98477
ENSG00000003509	15.4066
ENSG00000003756	267.851
ENSG00000004059	97.9559
ENSG00000004139	10.2526
ENSG00000004142	15.0575
ENSG00000004399	127.253
ENSG00000004455	51.4491
ENSG00000004468	14.4756
ENSG00000004478	9.75039
ENSG00000004487	25.0701
ENSG00000004534	78.5124
ENSG00000004660	6.5817
ENSG00000004700	11.775
ENSG00000004766	25.9759
ENSG00000004777	9.35894
ENSG00000004779	16.4723
ENSG00000004799	18.8468
ENSG00000004809	0.86262
ENSG00000004838	0.869739
ENSG00000004864	18.0318
ENSG00000004866	8.67349
ENSG00000004897	60.0769
ENSG00000004939	1.3938
ENSG00000004961	6.59233
ENSG00000004975	14.6395
ENSG00000005007	35.192
ENSG00000005020	31.8124
ENSG00000005022	106.03
ENSG00000005059	38.0502
ENSG00000005075	57.9564
ENSG00000005100	2.51988
ENSG00000005102	0.221605
ENSG00000005108	0.287954
ENSG00000005156	22.656
ENSG00000005175	16.9656
ENSG00000005187	8.48131
ENSG00000005189	0.717219
ENSG00000005194	18.666
ENSG00000005206	40.4992
ENSG00000005238	25.1119
ENSG00000005243	1.36994
ENSG00000005249	24.8179
ENSG00000005302	54.1457
ENSG00000005339	200.687
ENSG00000005379	27.2121
ENSG00000005381	3.25048
ENSG00000005436	8.54451
ENSG00000005448	5.75886
ENSG00000005469	2.96221
ENSG00000005471	1.72294
ENSG00000005483	235.143
ENSG00000005486	44.6885
ENSG00000005513	0.141942
ENSG00000005700	31.7552
ENSG00000005801	17.1049
ENSG00000005810	135.771
ENSG00000005812	62.2262
ENSG00000005844	358.26
ENSG00000005882	18.2832
ENSG00000005884	1.46259
ENSG00000005889	33.2033
ENSG00000005893	46.4667
ENSG00000005961	39.0505
ENSG00000005981	0.298904
ENSG00000006007	20.8813
ENSG00000006015	25.0894
ENSG00000006016	0.240438
ENSG00000006025	14.0372
