transcript_id	CT26
ENSMUST00000000001	133.667
ENSMUST00000000028	16.3816
ENSMUST00000096990	10.3016
ENSMUST00000115585	0.184996
ENSMUST00000231819	0.0614827
ENSMUST00000000049	0.0627966
ENSMUST00000133383	0.0740903
ENSMUST00000103015	3.76574
ENSMUST00000151088	0.0450281
ENSMUST00000154047	0.236173
ENSMUST00000000058	163.03
ENSMUST00000115459	0.943198
ENSMUST00000115462	7.90361
ENSMUST00000000080	119.58
ENSMUST00000221734	6.03384
ENSMUST00000222857	1.84241
ENSMUST00000000087	7.0955
ENSMUST00000106298	2.28339
ENSMUST00000106301	0.581063
ENSMUST00000132116	1.2071
ENSMUST00000133290	0.150902
ENSMUST00000134375	0.778472
ENSMUST00000136801	10.1582
ENSMUST00000144555	0.110302
ENSMUST00000151345	2.33887
ENSMUST00000153099	0.0208086
ENSMUST00000000090	437.167
ENSMUST00000213678	1.77779
ENSMUST00000214154	0.549699
ENSMUST00000108045	0.00582375
ENSMUST00000108783	2.48411
ENSMUST00000000129	23.233
ENSMUST00000038080	0.393582
ENSMUST00000232945	2.88741
ENSMUST00000233190	1.15564
ENSMUST00000233225	0.724159
ENSMUST00000009344	3.5517
ENSMUST00000163959	0.108534
ENSMUST00000165660	0.240548
ENSMUST00000166719	1.29139
ENSMUST00000167147	0.162285
ENSMUST00000167268	0.210121
ENSMUST00000167315	0.229724
ENSMUST00000168189	27.2355
ENSMUST00000168564	4.71197
ENSMUST00000168649	0.0955885
ENSMUST00000170675	1.44738
ENSMUST00000171861	12.0461
ENSMUST00000206784	0.0387329
ENSMUST00000077680	5.66031
ENSMUST00000101695	1.20858
ENSMUST00000115677	7.14663
ENSMUST00000115678	8.90062
ENSMUST00000115679	3.35628
ENSMUST00000126694	0.0888141
ENSMUST00000133456	0.100889
ENSMUST00000137467	0.190126
ENSMUST00000143680	0.231319
ENSMUST00000144900	4.00115
ENSMUST00000052915	0.0571774
ENSMUST00000139682	0.00552186
ENSMUST00000140821	0.0241125
ENSMUST00000041588	6.53818
ENSMUST00000100505	3.31257
ENSMUST00000110806	0.61279
ENSMUST00000124892	0.0822065
ENSMUST00000131905	0.9337
ENSMUST00000153440	0.453256
ENSMUST00000000153	75.7297
ENSMUST00000198447	0.144814
ENSMUST00000052348	2.60539
ENSMUST00000145943	0.123208
ENSMUST00000150791	0.605673
ENSMUST00000000171	1.13646
ENSMUST00000124029	0.158884
ENSMUST00000125606	0.0753459
ENSMUST00000141366	0.0655848
ENSMUST00000155773	0.205112
ENSMUST00000034567	30.836
ENSMUST00000125919	31.2333
ENSMUST00000132455	0.613396
ENSMUST00000000175	135.119
ENSMUST00000000188	86.8982
ENSMUST00000201066	1.19764
ENSMUST00000201564	1.02875
ENSMUST00000201637	3.32178
ENSMUST00000201902	9.83861
ENSMUST00000201985	0.176222
ENSMUST00000202363	0.364195
ENSMUST00000056433	8.57098
ENSMUST00000146747	0.12102
ENSMUST00000147099	0.0924821
ENSMUST00000169333	0.222428
ENSMUST00000172422	6.69288
ENSMUST00000194084	0.0687982
ENSMUST00000000201	0.00939192
ENSMUST00000167596	0.0148753
ENSMUST00000215472	0.0272439
ENSMUST00000105932	0.0531036
ENSMUST00000000221	0.00575823
ENSMUST00000000228	0.217972
ENSMUST00000113224	0.0251793
ENSMUST00000142146	0.0301574
ENSMUST00000153424	0.283647
ENSMUST00000009396	3.81296
ENSMUST00000075172	0.0545537
ENSMUST00000082008	1.12363
ENSMUST00000105923	1.41368
ENSMUST00000141186	0.208777
ENSMUST00000145212	0.18015
ENSMUST00000154264	0.0889715
ENSMUST00000207211	0.450332
ENSMUST00000207449	0.180188
ENSMUST00000000260	0.0799903
ENSMUST00000222227	0.0611998
ENSMUST00000112988	0.221195
ENSMUST00000112990	1.57671
ENSMUST00000112993	8.5239
ENSMUST00000128809	0.537048
ENSMUST00000140144	0.107695
ENSMUST00000100627	0.316802
ENSMUST00000107896	47.7022
ENSMUST00000000285	1.68484
ENSMUST00000107894	1.26254
ENSMUST00000152772	0.0632046
ENSMUST00000000287	141.697
ENSMUST00000000291	11.5461
ENSMUST00000133217	0.196463
ENSMUST00000000299	1.16317
ENSMUST00000000304	47.995
ENSMUST00000159194	0.236083
ENSMUST00000160447	0.28643
ENSMUST00000214644	0.034255
ENSMUST00000000310	0.316494
ENSMUST00000102693	4.08044
ENSMUST00000143646	0.135844
ENSMUST00000148512	0.296121
ENSMUST00000150954	0.266726
ENSMUST00000167688	0.0214352
ENSMUST00000078222	0.0836071
ENSMUST00000000326	14.7646
ENSMUST00000140542	1.22663
ENSMUST00000115610	0.145887
ENSMUST00000115614	0.472342
ENSMUST00000150253	0.43606
ENSMUST00000150484	0.183646
ENSMUST00000152132	0.0434342
ENSMUST00000231791	0.125202
ENSMUST00000232241	1.27573
ENSMUST00000000335	26.9711
ENSMUST00000115609	3.8143
ENSMUST00000165430	37.641
ENSMUST00000000348	61.6795
ENSMUST00000124486	0.659889
ENSMUST00000140677	0.529138
ENSMUST00000143425	0.397357
ENSMUST00000153005	0.879414
ENSMUST00000000349	3.96246
ENSMUST00000197201	0.276753
ENSMUST00000199614	0.255666
ENSMUST00000000356	168.621
ENSMUST00000229424	0.336868
ENSMUST00000230384	0.838249
ENSMUST00000230661	1.47725
ENSMUST00000000365	54.7492
ENSMUST00000133128	3.13334
ENSMUST00000134573	8.75004
ENSMUST00000140204	4.08355
ENSMUST00000148938	0.378836
ENSMUST00000000384	19.7498
ENSMUST00000217858	0.0777451
ENSMUST00000217980	0.871462
ENSMUST00000218124	0.391656
ENSMUST00000219948	1.14156
ENSMUST00000000388	49.6025
ENSMUST00000144293	0.0632819
ENSMUST00000159007	0.940061
ENSMUST00000160633	0.956098
ENSMUST00000161501	0.230218
ENSMUST00000161667	0.112743
ENSMUST00000000394	26.2963
ENSMUST00000131477	3.20374
ENSMUST00000131815	0.787553
ENSMUST00000132446	3.85418
ENSMUST00000134016	0.813039
ENSMUST00000136682	1.48903
ENSMUST00000144463	0.726721
ENSMUST00000150697	1.37475
ENSMUST00000151008	0.055756
ENSMUST00000156969	0.216491
ENSMUST00000189268	9.72744
ENSMUST00000000395	0.0108669
ENSMUST00000113768	1.22854
ENSMUST00000135184	0.244601
ENSMUST00000142883	0.712243
ENSMUST00000155233	1.08481
ENSMUST00000231455	0.0760795
ENSMUST00000231995	0.592261
ENSMUST00000232282	0.285188
ENSMUST00000000402	0.0370063
ENSMUST00000173745	0.0179267
ENSMUST00000200890	0.602323
ENSMUST00000205002	91.331
ENSMUST00000123640	0.501548
ENSMUST00000167288	0.417256
ENSMUST00000000430	5.35015
ENSMUST00000164066	1.04057
ENSMUST00000164998	6.86383
